N,e,n_seeds,psi_mean,psi_std,R_mean,R_std,tau_nuc_mean,tau_nuc_std,n_nucleated
20,0.0,30,0.20226579774679784,0.08527420398126621,1.5761155806648397,0.11234893680329885,42.64286352149444,30.100822764825658,7
20,0.3,30,0.18982836432580183,0.10999246919123197,1.6015247321040988,0.13129543922996545,47.100004615728416,23.297916143340522,15
20,0.5,30,0.23978993386061642,0.15809755971064376,1.5391275348850981,0.19742160107999326,43.04348340235104,25.447322206472858,23
20,0.7,30,0.3714692672246217,0.1454735192824007,1.3698614944070315,0.21614777067645366,35.08000537885449,25.647321041675436,25
20,0.8,30,0.3345334150744515,0.13064791385867244,1.41298366694686,0.20146216891266847,42.982148295812685,25.168132201569478,28
20,0.9,30,0.30564694608443,0.187752819707462,1.446466040991186,0.24150666632546783,49.11111594353576,29.956485864642865,27
40,0.0,30,0.14463092157519858,0.06325599567271104,1.655530458035748,0.08910870044388963,NaN,NaN,0
40,0.3,30,0.16569137164625075,0.08127752814012251,1.6110176846515158,0.0903215759042693,NaN,NaN,0
40,0.5,30,0.20622484720086703,0.1110438364338825,1.575894804736815,0.13645471748881088,93.50000825920894,NaN,1
40,0.7,30,0.21948485871305978,0.11744364626165589,1.5556006138351512,0.16488071677157917,85.2000033219625,16.5778435863983,5
40,0.8,30,0.18891087181549254,0.12588690129774016,1.5987632741156441,0.15636894207353702,68.3333381680639,24.27069436169743,6
40,0.9,30,0.22589856635375632,0.10599605435960001,1.5552571532779953,0.13882623216946482,64.5000016861732,15.305226019896491,3
60,0.0,30,0.11950175146812758,0.06314327700753229,1.6670685368905873,0.07610345316884097,NaN,NaN,0
60,0.3,30,0.11709565537660067,0.049397263274536585,1.6909231499171102,0.05807311181035826,NaN,NaN,0
60,0.5,30,0.15721535199061168,0.07799566143228762,1.6403652375758406,0.10566305921441607,NaN,NaN,0
60,0.7,30,0.19493207827870762,0.07820365365783827,1.5854827796000666,0.10204375603374921,NaN,NaN,0
60,0.8,30,0.16290740676058638,0.07908274565459962,1.6384201927879816,0.10563143259083957,NaN,NaN,0
60,0.9,30,0.2769960994144372,0.10032432569232708,1.5041907015677793,0.146267882226331,84.35714870993186,10.546384600337198,7
80,0.0,30,0.10054436740084047,0.061688698324685994,1.69587717711643,0.07949571740951526,NaN,NaN,0
80,0.3,30,0.12572209558763184,0.06150057011424466,1.6654992647835,0.0823503196090269,NaN,NaN,0
80,0.5,30,0.12124236616131269,0.052820888119832474,1.6799926442316742,0.07820634666968701,NaN,NaN,0
80,0.7,30,0.1649415903646948,0.09156359672895759,1.6173861472118451,0.11117492395534567,NaN,NaN,0
80,0.8,30,0.14283753943561298,0.06641136358294833,1.6608787685306097,0.08544380487263474,NaN,NaN,0
80,0.9,30,0.2499121234296214,0.10265644920440725,1.5176447717708987,0.1451974398997734,71.30000371823782,41.30920264984531,5
