run_id,N,e,a,seed,max_time,dt_max,dt_min,save_interval,N_max_ref
1,60,0.8,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
2,60,0.8,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
3,60,0.8,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
4,60,0.8,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
5,60,0.8,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
6,80,0.8,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
7,80,0.8,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
8,80,0.8,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
9,80,0.8,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
10,80,0.8,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
11,100,0.8,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
12,100,0.8,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
13,100,0.8,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
14,100,0.8,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
15,100,0.8,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
16,60,0.9,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
17,60,0.9,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
18,60,0.9,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
19,60,0.9,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
20,60,0.9,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
21,80,0.9,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
22,80,0.9,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
23,80,0.9,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
24,80,0.9,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
25,80,0.9,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
26,100,0.9,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
27,100,0.9,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
28,100,0.9,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
29,100,0.9,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
30,100,0.9,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
31,60,0.95,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
32,60,0.95,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
33,60,0.95,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
34,60,0.95,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
35,60,0.95,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
36,80,0.95,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
37,80,0.95,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
38,80,0.95,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
39,80,0.95,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
40,80,0.95,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
41,100,0.95,2.0,1,100.0,1.0e-5,1.0e-10,0.5,200
42,100,0.95,2.0,2,100.0,1.0e-5,1.0e-10,0.5,200
43,100,0.95,2.0,3,100.0,1.0e-5,1.0e-10,0.5,200
44,100,0.95,2.0,4,100.0,1.0e-5,1.0e-10,0.5,200
45,100,0.95,2.0,5,100.0,1.0e-5,1.0e-10,0.5,200
